楼层,房间,面积(m²)
B1,洗衣房/露台,18.76
B1,衣帽间?,5.55
B1,车库?,1.90
B1,露台?,0.89
B1,衣帽间?,0.75
B1,衣帽间?,0.74
B1,--- 小计 ---,28.59
F1,衣帽间?,1.04
F1,衣帽间?,0.72
F1,景观阳台?,0.55
F1,--- 小计 ---,2.31
F2,洗衣房/露台,8.72
F2,茶室?,2.78
F2,景观阳台?,1.91
F2,电梯厅?,0.73
F2,电梯厅?,0.73
F2,--- 小计 ---,14.87
F3,餐厅/休闲区/卫生间/储藏间/上17步/电梯（井道净宽1.6米，净深1.58米）/阳台/下3步/下3步/厨房/电梯厅/手工区,188.91
F3,餐厅/休闲区/卫生间/储藏间/上17步/电梯（井道净宽1.6米，净深1.58米）/阳台/下3步/下3步/厨房/电梯厅/手工区,187.69
F3,露台,14.97
F3,露台,12.40
F3,衣帽间?,0.59
F3,卧室?,0.56
F3,衣帽间?,0.56
F3,--- 小计 ---,405.68
F4,衣帽间?,3.53
F4,衣帽间?,1.04
F4,卫生间?,1.02
F4,客厅?,0.92
F4,露台?,0.92
F4,卧室二?,0.76
F4,衣帽间?,0.72
F4,--- 小计 ---,8.91
F5,电梯（井道净宽1.6米，净深1.58米）?,0.92
F5,客厅?,0.80
F5,客厅?,0.56
F5,露台?,0.52
F5,--- 小计 ---,2.80
,=== 总计 ===,463.16
